SchoolYear,DistrictCode,SchoolCode,DistrictName,DistrictType,SchoolName,SchoolType,Street1,Street2,City,State,Zip,County,LowestGrade,HighestGrade,EducationLevel,HasEC,HasPK,HasKN,HasElementaryGrade,HasMiddleGrade,HasHighGrade,IsUngraded,Geocoded Location
2016,10,611,Caesar Rodney School District,Regular,J. Ralph McIlvaine Early Childhood Center,PUBLIC,Post Office Box 258,11 East Walnut,Magnolia,DE,19962,Kent,KG,KG,Kindergarten,0,0,1,0,0,0,0,"Post Office Box 258
Magnolia, DE 19962
"
2016,10,612,Caesar Rodney School District,Regular,Major George S. Welch Elementary School,PUBLIC,3100 Hawthorne Drive,--,Dover,DE,199015391,Kent,01,05,Elementary,0,0,0,1,0,0,0,"3100 Hawthorne Drive
Dover, DE 199015391
"
2016,10,628,Caesar Rodney School District,Regular,Dover Air Force Base Middle School,PUBLIC,3100 Hawthorne Drive,--,Dover,DE,199015391,Kent,06,08,Middle,0,0,0,0,1,0,0,"3100 Hawthorne Drive
Dover, DE 199015391
"
2016,13,640,Capital School District,Regular,Hartly Elementary School,PUBLIC,PO Box 25,2617 Arthursville Road,Hartly,DE,199530025,Kent,PK,04,Elementary,0,1,1,1,0,0,0,"PO Box 25
Hartly, DE 199530025
"
2016,13,646,Capital School District,Regular,William Henry Middle School,PUBLIC,Carver Road,--,Dover,DE,199042716,Kent,05,06,Middle,0,0,0,1,1,0,0,"Carver Road
Dover, DE 199042716
"
2016,13,648,Capital School District,Regular,Dover High School,PUBLIC,One Dover High Drive,--,Dover,DE,19904,Kent,09,12,High,0,0,0,0,0,1,0,"One Dover High Drive
Dover, DE 19904
"
2016,13,650,Capital School District,Regular,Kent County Community School,PUBLIC,Carver Road,--,Dover,DE,199042716,Kent,PK,12,High,0,1,1,1,1,1,0,"Carver Road
Dover, DE 199042716
"
2016,15,658,Lake Forest School District,Regular,Lake Forest East Elementary School,PUBLIC,124 West Front Street,--,Frederica,DE,199469703,Kent,KG,04,Elementary,0,0,1,1,0,0,0,"124 West Front Street
Frederica, DE 199469703
"
2016,23,762,Seaford School District,Regular,Frederick Douglass Elementary School,PUBLIC,1 Swain Road,--,Seaford,DE,199732827,Sussex,PK,05,Elementary,0,1,1,1,0,0,0,"1 Swain Road
Seaford, DE 199732827
"
2016,24,696,Smyrna School District,Regular,Clayton Intermediate School,PUBLIC,86 Sorrento Drive,--,Clayton,DE,19938,Kent,05,06,Middle,0,0,0,1,1,0,0,"86 Sorrento Drive
Clayton, DE 19938
"
2016,29,14,Appoquinimink School District,Regular,Townsend Elementary School,PUBLIC,PO Box 369,126 Main Street,Townsend,DE,197340369,New Castle,01,05,Elementary,0,0,0,1,0,0,0,"PO Box 369
Townsend, DE 197340369
"
2016,29,32,Appoquinimink School District,Regular,Old State Elementary School,PUBLIC,PO Box 4010,118 South Sixth Street,Odessa,DE,197304010,New Castle,01,05,Elementary,0,0,0,1,0,0,0,"PO Box 4010
Odessa, DE 197304010
"
2016,35,775,Woodbridge School District,Regular,Woodbridge Middle School,PUBLIC,307 Laws Street,--,Bridgeville,DE,199331034,Sussex,06,08,Middle,0,0,0,0,1,0,0,"307 Laws Street
Bridgeville, DE 199331034
"
2016,35,776,Woodbridge School District,Regular,Woodbridge Early Childhood Education Center,PUBLIC,PO Box 2007,400 Governors Ave,Greenwood,DE,199502007,Sussex,PR,02,Elementary,1,1,1,1,0,0,0,"PO Box 2007
Greenwood, DE 199502007
"
2016,39,652,POLYTECH School District,Regular,POLYTECH High School,PUBLIC,PO Box 97,823 Walnut Shade Road,Woodside,DE,199800097,Kent,09,13,High,0,0,0,0,0,1,0,"PO Box 97
Woodside, DE 199800097
"
2015,10,611,Caesar Rodney School District,Regular,J. Ralph McIlvaine Early Childhood Center,PUBLIC,Post Office Box 258,11 East Walnut,Magnolia,DE,19962,Kent,KG,KG,Kindergarten,0,0,1,0,0,0,0,"Post Office Box 258
Magnolia, DE 19962
"
2015,10,612,Caesar Rodney School District,Regular,Major George S. Welch Elementary School,PUBLIC,3100 Hawthorne Drive,--,Dover,DE,199015391,Kent,01,05,Elementary,0,0,0,1,0,0,0,"3100 Hawthorne Drive
Dover, DE 199015391
"
2015,10,628,Caesar Rodney School District,Regular,Dover Air Force Base Middle School,PUBLIC,3100 Hawthorne Drive,--,Dover,DE,199015391,Kent,06,08,Middle,0,0,0,0,1,0,0,"3100 Hawthorne Drive
Dover, DE 199015391
"
2015,13,640,Capital School District,Regular,Hartly Elementary School,PUBLIC,PO Box 25,2617 Arthursville Road,Hartly,DE,199530025,Kent,PK,04,Elementary,0,1,1,1,0,0,0,"PO Box 25
Hartly, DE 199530025
"
2015,13,646,Capital School District,Regular,William Henry Middle School,PUBLIC,Carver Road,--,Dover,DE,199042716,Kent,05,06,Middle,0,0,0,1,1,0,0,"Carver Road
Dover, DE 199042716
"
2015,13,648,Capital School District,Regular,Dover High School,PUBLIC,One Dover High Drive,--,Dover,DE,19904,Kent,09,12,High,0,0,0,0,0,1,0,"One Dover High Drive
Dover, DE 19904
"
2015,13,650,Capital School District,Regular,Kent County Community School,PUBLIC,Carver Road,--,Dover,DE,199042716,Kent,PK,12,High,0,1,1,1,1,1,0,"Carver Road
Dover, DE 199042716
"
2015,15,658,Lake Forest School District,Regular,Lake Forest East Elementary School,PUBLIC,124 West Front Street,--,Frederica,DE,199469703,Kent,KG,04,Elementary,0,0,1,1,0,0,0,"124 West Front Street
Frederica, DE 199469703
"
2015,23,762,Seaford School District,Regular,Frederick Douglass Elementary School,PUBLIC,1 Swain Road,--,Seaford,DE,199732827,Sussex,PK,05,Elementary,0,1,1,1,0,0,0,"1 Swain Road
Seaford, DE 199732827
"
2015,24,696,Smyrna School District,Regular,Clayton Intermediate School,PUBLIC,86 Sorrento Drive,--,Clayton,DE,19938,Kent,05,06,Middle,0,0,0,1,1,0,0,"86 Sorrento Drive
Clayton, DE 19938
"
2015,29,14,Appoquinimink School District,Regular,Townsend Elementary School,PUBLIC,PO Box 369,126 Main Street,Townsend,DE,197340369,New Castle,01,05,Elementary,0,0,0,1,0,0,0,"PO Box 369
Townsend, DE 197340369
"
2015,29,32,Appoquinimink School District,Regular,Old State Elementary School,PUBLIC,PO Box 4010,118 South Sixth Street,Odessa,DE,197304010,New Castle,01,05,Elementary,0,0,0,1,0,0,0,"PO Box 4010
Odessa, DE 197304010
"
2015,35,775,Woodbridge School District,Regular,Woodbridge Middle School,PUBLIC,307 Laws Street,--,Bridgeville,DE,199331034,Sussex,06,08,Middle,0,0,0,0,1,0,0,"307 Laws Street
Bridgeville, DE 199331034
"
2015,35,776,Woodbridge School District,Regular,Woodbridge Early Childhood Education Center,PUBLIC,PO Box 2007,400 Governors Ave,Greenwood,DE,199502007,Sussex,PR,02,Elementary,1,1,1,1,0,0,0,"PO Box 2007
Greenwood, DE 199502007
"
2015,39,652,POLYTECH School District,Regular,POLYTECH High School,PUBLIC,PO Box 97,823 Walnut Shade Road,Woodside,DE,199800097,Kent,09,13,High,0,0,0,0,0,1,0,"PO Box 97
Woodside, DE 199800097
"
2014,10,611,Caesar Rodney School District,Regular,McIlvaine (J. Ralph) Early Childhood Center,PUBLIC,Post Office Box 258,11 East Walnut,Magnolia,DE,19962,Kent,KG,KG,Kindergarten,0,0,1,0,0,0,0,"Post Office Box 258
Magnolia, DE 19962
"
2014,10,612,Caesar Rodney School District,Regular,Welch (Major George S.) Elementary School,PUBLIC,3100 Hawthorne Drive,--,Dover,DE,199015391,Kent,01,05,Elementary,0,0,0,1,0,0,0,"3100 Hawthorne Drive
Dover, DE 199015391
"
2014,10,628,Caesar Rodney School District,Regular,Dover Air Force Base Middle School,PUBLIC,3100 Hawthorne Drive,--,Dover,DE,199015391,Kent,06,08,Middle,0,0,0,0,1,0,0,"3100 Hawthorne Drive
Dover, DE 199015391
"
2014,13,640,Capital School District,Regular,Hartly Elementary School,PUBLIC,PO Box 25,2617 Arthursville Road,Hartly,DE,199530025,Kent,PK,04,Elementary,0,1,1,1,0,0,0,"PO Box 25
Hartly, DE 199530025
"
2014,13,646,Capital School District,Regular,William Henry Middle School,PUBLIC,Carver Road,--,Dover,DE,199042716,Kent,05,06,Middle,0,0,0,1,1,0,0,"Carver Road
Dover, DE 199042716
"
2014,13,648,Capital School District,Regular,Dover High School,PUBLIC,One Pat Lynn Drive,--,Dover,DE,199042899,Kent,09,12,High,0,0,0,0,0,1,0,"One Pat Lynn Drive
Dover, DE 199042899
"
2014,13,650,Capital School District,Regular,Kent County Community School,PUBLIC,Carver Road,--,Dover,DE,199042716,Kent,PK,12,High,0,1,1,1,1,1,0,"Carver Road
Dover, DE 199042716
"
2014,15,658,Lake Forest School District,Regular,Lake Forest East Elementary School,PUBLIC,124 West Front Street,--,Frederica,DE,199469703,Kent,KG,04,Elementary,0,0,1,1,0,0,0,"124 West Front Street
Frederica, DE 199469703
"
2014,15,663,Lake Forest School District,Regular,Delaware Early Childhood Center,PUBLIC,Lake Forest South ,100 West Mispillion Street,Harrington,DE,199521099,Kent,PR,PR,Early Childhood,1,0,0,0,0,0,0,"Lake Forest South
Harrington, DE 199521099
"
2014,23,762,Seaford School District,Regular,Frederick Douglass Elementary School,PUBLIC,1 Swain Road,--,Seaford,DE,199732827,Sussex,PK,05,Elementary,0,1,1,1,0,0,0,"1 Swain Road
Seaford, DE 199732827
"
2014,24,696,Smyrna School District,Regular,Clayton Intermediate School,PUBLIC,86 Sorrento Drive,--,Clayton,DE,19938,Kent,05,06,Middle,0,0,0,1,1,0,0,"86 Sorrento Drive
Clayton, DE 19938
"
2014,29,32,Appoquinimink School District,Regular,Old State Elementary School,PUBLIC,PO Box 4010,118 South Sixth Street,Odessa,DE,197304010,New Castle,01,05,Elementary,0,0,0,1,0,0,0,"PO Box 4010
Odessa, DE 197304010
"
2014,35,776,Woodbridge School District,Regular,Woodbridge Elementary School,PUBLIC,PO Box 2007,400 Governors Ave,Greenwood,DE,199502007,Sussex,PK,04,Elementary,0,1,1,1,0,0,0,"PO Box 2007
Greenwood, DE 199502007
"
2014,35,780,Woodbridge School District,Regular,Woodbridge High School,PUBLIC,307 Laws Street,--,Bridgeville,DE,199331299,Sussex,09,12,High,0,0,0,0,0,1,0,"307 Laws Street
Bridgeville, DE 199331299
"
2014,39,652,POLYTECH School District,Regular,POLYTECH High School,PUBLIC,PO Box 97,823 Walnut Shade Road,Woodside,DE,199800097,Kent,09,13,High,0,0,0,0,0,1,0,"PO Box 97
Woodside, DE 199800097
"
2013,10,611,Caesar Rodney School District,Regular,McIlvaine (J. Ralph) Early Childhood Center,PUBLIC,Post Office Box 258,11 East Walnut,Magnolia,DE,19962,Kent,KG,KG,Kindergarten,0,0,1,0,0,0,0,"Post Office Box 258
Magnolia, DE 19962
"
2013,10,612,Caesar Rodney School District,Regular,Welch (Major George S.) Elementary School,PUBLIC,3100 Hawthorne Drive,--,Dover,DE,199015391,Kent,KG,05,Elementary,0,0,1,1,0,0,0,"3100 Hawthorne Drive
Dover, DE 199015391
"
2013,10,628,Caesar Rodney School District,Regular,Dover Air Force Base Middle School,PUBLIC,3100 Hawthorne Drive,--,Dover,DE,199015391,Kent,06,08,Middle,0,0,0,0,1,0,0,"3100 Hawthorne Drive
Dover, DE 199015391
"
2013,12,627,Consortium Discipline Alternative Programs,Service,Project Peak Alternative Program,SERVICE,Capital School District,Clara St. Extended,Dover,DE,19904,,01,12,High,0,0,0,1,1,1,0,"Capital School District
Dover, DE 19904
"
2013,13,640,Capital School District,Regular,Hartly Elementary School,PUBLIC,PO Box 25,2617 Arthursville Road,Hartly,DE,199530025,Kent,PK,04,Elementary,0,1,1,1,0,0,0,"PO Box 25
Hartly, DE 199530025
"
2013,13,646,Capital School District,Regular,William Henry Middle School,PUBLIC,Carver Road,--,Dover,DE,199042716,Kent,05,06,Middle,0,0,0,1,1,0,0,"Carver Road
Dover, DE 199042716
"
2013,13,648,Capital School District,Regular,Dover High School,PUBLIC,One Pat Lynn Drive,--,Dover,DE,199042899,Kent,09,12,High,0,0,0,0,0,1,0,"One Pat Lynn Drive
Dover, DE 199042899
"
2013,13,650,Capital School District,Regular,Kent County Community School,PUBLIC,Carver Road,--,Dover,DE,199042716,Kent,PK,12,High,0,1,1,1,1,1,0,"Carver Road
Dover, DE 199042716
"
2013,15,658,Lake Forest School District,Regular,Lake Forest East Elementary School,PUBLIC,124 West Front Street,--,Frederica,DE,199469703,Kent,KG,04,Elementary,0,0,1,1,0,0,0,"124 West Front Street
Frederica, DE 199469703
"
2013,15,663,Lake Forest School District,Regular,Delaware Early Childhood Center,PUBLIC,Lake Forest South ,100 West Mispillion Street,Harrington,DE,199521099,Kent,PR,PR,Early Childhood,1,0,0,0,0,0,0,"Lake Forest South
Harrington, DE 199521099
"
2013,23,762,Seaford School District,Regular,Frederick Douglass Elementary School,PUBLIC,1 Swain Road,--,Seaford,DE,199732827,Sussex,PK,05,Elementary,0,1,1,1,0,0,0,"1 Swain Road
Seaford, DE 199732827
"
2013,24,696,Smyrna School District,Regular,Clayton Intermediate School,PUBLIC,86 Sorrento Drive,--,Clayton,DE,19938,Kent,05,06,Middle,0,0,0,1,1,0,0,"86 Sorrento Drive
Clayton, DE 19938
"
2013,29,32,Appoquinimink School District,Regular,Old State Elementary School,PUBLIC,PO Box 4010,118 South Sixth Street,Odessa,DE,197304010,New Castle,01,05,Elementary,0,0,0,1,0,0,0,"PO Box 4010
Odessa, DE 197304010
"
2013,35,776,Woodbridge School District,Regular,Woodbridge Elementary School,PUBLIC,PO Box 2007,400 Governors Ave,Greenwood,DE,199502007,Sussex,PK,04,Elementary,0,1,1,1,0,0,0,"PO Box 2007
Greenwood, DE 199502007
"
2013,35,780,Woodbridge School District,Regular,Woodbridge High School,PUBLIC,307 Laws Street,--,Bridgeville,DE,199331299,Sussex,09,12,High,0,0,0,0,0,1,0,"307 Laws Street
Bridgeville, DE 199331299
"
2013,39,652,POLYTECH School District,Regular,POLYTECH High School,PUBLIC,PO Box 97,823 Walnut Shade Road,Woodside,DE,199800097,Kent,09,AE,,0,0,0,0,0,1,1,"PO Box 97
Woodside, DE 199800097
"
2012,10,611,Caesar Rodney School District,Regular,McIlvaine (J. Ralph) Early Childhood Center,PUBLIC,Post Office Box 258,11 East Walnut,Magnolia,DE,19962,Kent,KG,KG,Kindergarten,0,0,1,0,0,0,0,"Post Office Box 258
Magnolia, DE 19962
"
2012,10,612,Caesar Rodney School District,Regular,Welch (Major George S.) Elementary School,PUBLIC,3100 Hawthorne Drive,--,Dover,DE,199015391,Kent,KG,05,Elementary,0,0,1,1,0,0,0,"3100 Hawthorne Drive
Dover, DE 199015391
"
2012,10,628,Caesar Rodney School District,Regular,Dover Air Force Base Middle School,PUBLIC,3100 Hawthorne Drive,--,Dover,DE,199015391,Kent,06,08,Middle,0,0,0,0,1,0,0,"3100 Hawthorne Drive
Dover, DE 199015391
"
2012,12,627,Consortium Discipline Alternative Programs,Service,Project Peak Alternative Program,SERVICE,Capital School District,Clara St. Extended,Dover,DE,19904,,01,12,High,0,0,0,1,1,1,0,"Capital School District
Dover, DE 19904
"
2012,13,640,Capital School District,Regular,Hartly Elementary School,PUBLIC,PO Box 25,2617 Arthursville Road,Hartly,DE,199530025,Kent,PK,04,Elementary,0,1,1,1,0,0,0,"PO Box 25
Hartly, DE 199530025
"
2012,13,646,Capital School District,Regular,Henry (William) Middle School,PUBLIC,Carver Road,--,Dover,DE,199042716,Kent,05,06,Middle,0,0,0,1,1,0,0,"Carver Road
Dover, DE 199042716
"
2012,13,648,Capital School District,Regular,Dover High School,PUBLIC,One Pat Lynn Drive,--,Dover,DE,199042899,Kent,08,12,High,0,0,0,0,1,1,0,"One Pat Lynn Drive
Dover, DE 199042899
"
2012,13,650,Capital School District,Regular,Kent County Community School,PUBLIC,Carver Road,--,Dover,DE,199042716,Kent,PK,12,High,0,1,1,1,1,1,0,"Carver Road
Dover, DE 199042716
"
2012,15,658,Lake Forest School District,Regular,Lake Forest East Elementary School,PUBLIC,124 West Front Street,--,Frederica,DE,199469703,Kent,KG,04,Elementary,0,0,1,1,0,0,0,"124 West Front Street
Frederica, DE 199469703
"
2012,15,663,Lake Forest School District,Regular,Delaware Early Childhood Center,PUBLIC,Lake Forest South ,100 West Mispillion Street,Harrington,DE,199521099,Kent,PR,PR,Early Childhood,1,0,0,0,0,0,0,"Lake Forest South
Harrington, DE 199521099
"
2012,23,762,Seaford School District,Regular,Frederick Douglass Elementary School,PUBLIC,1 Swain Road,--,Seaford,DE,199732827,Sussex,PK,05,Elementary,0,1,1,1,0,0,0,"1 Swain Road
Seaford, DE 199732827
"
2012,29,14,Appoquinimink School District,Regular,Townsend Elementary School,PUBLIC,PO Box 369,126 Main Street,Townsend,DE,197340369,New Castle,01,05,Elementary,0,0,0,1,0,0,0,"PO Box 369
Townsend, DE 197340369
"
2012,29,24,Appoquinimink School District,Regular,Appoquinimink High School,PUBLIC,1080 Bunker Hill Road,--,Middletown,DE,19709,New Castle,09,12,High,0,0,0,0,0,1,0,"1080 Bunker Hill Road
Middletown, DE 19709
(39.457624, -75.743541)"
2012,29,23,Appoquinimink School District,Regular,Waters (Alfred G.) Middle School,PUBLIC,1235 Cedar Lane Road,--,Middletown,DE,19709,New Castle,06,08,Middle,0,0,0,0,1,0,0,"1235 Cedar Lane Road
Middletown, DE 19709
(39.501427, -75.685619)"
2012,29,28,Appoquinimink School District,Regular,Bunker Hill Elementary School,PUBLIC,1070 Bunker Hill Road,--,Middletown,DE,19709,New Castle,01,05,Elementary,0,0,0,1,0,0,0,"1070 Bunker Hill Road
Middletown, DE 19709
(39.453763, -75.736949)"
2012,29,22,Appoquinimink School District,Regular,Cedar Lane Early Childhood Center,PUBLIC,1221 Cedar Lane Road,--,Middletown,DE,19709,New Castle,PK,KG,,0,1,1,0,0,0,0,"1221 Cedar Lane Road
Middletown, DE 19709
(39.50322, -75.684795)"
2012,29,27,Appoquinimink School District,Regular,Townsend Early Childhood Center,PUBLIC,10 Brook Ramble Lane,--,Townsend,DE,19734,New Castle,PK,KG,,0,1,1,0,0,0,0,"10 Brook Ramble Lane
Townsend, DE 19734
(39.395649, -75.685285)"
2012,35,776,Woodbridge School District,Regular,Woodbridge Elementary School,PUBLIC,PO Box 2007,400 Governors Ave,Greenwood,DE,199502007,Sussex,PK,04,Elementary,0,1,1,1,0,0,0,"PO Box 2007
Greenwood, DE 199502007
"
2012,35,780,Woodbridge School District,Regular,Woodbridge High School,PUBLIC,307 Laws Street,--,Bridgeville,DE,199331299,Sussex,09,12,High,0,0,0,0,0,1,0,"307 Laws Street
Bridgeville, DE 199331299
"
2012,39,652,POLYTECH School District,Regular,POLYTECH High School,PUBLIC,PO Box 97,823 Walnut Shade Road,Woodside,DE,199800097,Kent,09,AE,,0,0,0,0,0,1,1,"PO Box 97
Woodside, DE 199800097
"
2012,88,587,MOT Charter School,Charter,MOT Charter School,PUBLIC,1156 Levels Road,--,Middletown,DE,19709,New Castle,KG,08,Middle,0,0,1,1,1,0,0,"1156 Levels Road
Middletown, DE 19709
(39.423161, -75.741066)"
2016,32,252,Red Clay Consolidated School District,Regular,Baltz (Austin D.) Elementary School,PUBLIC,1500 Spruce Avenue,--,Wilmington,DE,198052195,New Castle,PK,05,Elementary,0,1,1,1,0,0,0,"1500 Spruce Avenue
Wilmington, DE 198052195
(39.743385, -75.600396)"
2013,36,734,Indian River School District,Regular,Georgetown Elementary School,PUBLIC,301-A West Market Street,--,Georgetown,DE,199472398,Sussex,PK,05,Elementary,0,1,1,1,0,0,0,"301-A West Market Street
Georgetown, DE 199472398
(38.685699, -75.391282)"
2015,31,128,Brandywine School District,Regular,Lancashire Elementary School,PUBLIC,2000 Naamans Road,--,Wilmington,DE,198102697,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"2000 Naamans Road
Wilmington, DE 198102697
(39.823623, -75.4932)"
2016,36,692,Indian River School District,Regular,North Georgetown Elementary School,PUBLIC,664 North Bedford Street,--,Georgetown,DE,199472162,Sussex,PK,05,Elementary,0,1,1,1,0,0,0,"664 North Bedford Street
Georgetown, DE 199472162
(38.704122, -75.40084)"
2014,33,354,Christina School District,Regular,Pyle (Sarah) Academy,PUBLIC,501 North Lombard Street,--,Wilmington,DE,198014499,New Castle,09,12,High,0,0,0,0,0,1,0,"501 North Lombard Street
Wilmington, DE 198014499
(39.739232, -75.545585)"
2015,16,753,Laurel School District,Regular,Dunbar (Paul Laurence) Elementary School,PUBLIC,499 West Sixth Street,--,Laurel,DE,199561363,Sussex,PK,01,Elementary,0,1,1,1,0,0,0,"499 West Sixth Street
Laurel, DE 199561363
(38.557111, -75.581982)"
2015,34,412,Colonial School District,Regular,Castle Hills Elementary School,PUBLIC,502 Moores Lane,--,New Castle,DE,197203499,New Castle,PK,05,Elementary,0,1,1,1,0,0,0,"502 Moores Lane
New Castle, DE 197203499
(39.681229, -75.566488)"
2014,32,516,Red Clay Consolidated School District,Regular,Meadowood Program,PUBLIC,55A South Meadowood Drive,--,Newark,DE,197116756,New Castle,PK,12,High,0,1,1,1,1,1,0,"55A South Meadowood Drive
Newark, DE 197116756
(39.706142, -75.683078)"
2014,68,567,Delaware Academy of Public Safety and Securit,Charter,Delaware Academy of Public Safety and Security,PUBLIC,801 N. DuPont Highway,--,New Castle,DE,19720,New Castle,09,12,High,0,0,0,0,0,1,0,"801 N. DuPont Highway
New Castle, DE 19720
(39.686117, -75.585435)"
2015,97,553,Dept. of Svs. for Children Youth & Their Families,Service,Seaford House Day Treatment Center,SERVICE,400 Market Street Extended,--,Seaford ,DE,19973,New Castle,PR,12,High,1,1,1,1,1,1,0,"400 Market Street Extended
Seaford, DE 19973
(38.65388, -75.615246)"
2016,9,3850,ECAP/Day Care/Nursery Schools,Service,Part C Birth to 3 Program,SERVICE,401 Federal St,--,Dover,DE,19903,New Castle,PR,PR,Early Childhood,1,0,0,0,0,0,0,"401 Federal St
Dover, DE 19903
(39.157772, -75.522434)"
2014,32,290,Red Clay Consolidated School District,Regular,Dickinson (John) High School,PUBLIC,1801 Milltown Road,--,Wilmington,DE,198084099,New Castle,09,12,High,0,0,0,0,0,1,0,"1801 Milltown Road
Wilmington, DE 198084099
(39.725172, -75.672014)"
2013,32,260,Red Clay Consolidated School District,Regular,Richey Elementary School,PUBLIC,105 East Highland Avenue,--,Wilmington,DE,198042700,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"105 East Highland Avenue
Wilmington, DE 198042700
(39.716859, -75.607816)"
2014,16,753,Laurel School District,Regular,Dunbar (Paul Laurence) Elementary School,PUBLIC,499 West Sixth Street,--,Laurel,DE,199561363,Sussex,PK,01,Elementary,0,1,1,1,0,0,0,"499 West Sixth Street
Laurel, DE 199561363
(38.557111, -75.581982)"
2014,31,510,Brandywine School District,Regular,Bush (Charles W.) School,PUBLIC,2523 Berwyn Road,--,Wilmington,DE,19810,New Castle,PK,KG,,0,1,1,0,0,0,0,"2523 Berwyn Road
Wilmington, DE 19810
(39.819379, -75.526453)"
2016,24,682,Smyrna School District,Regular,Smyrna Elementary School,PUBLIC,121 South School Lane,--,Smyrna,DE,199771399,Kent,KG,04,Elementary,0,0,1,1,0,0,0,"121 South School Lane
Smyrna, DE 199771399
(39.296241, -75.607759)"
2014,31,196,Brandywine School District,Regular,Mount Pleasant High School,PUBLIC,5201 Washington Street Extension,--,Wilmington,DE,198092198,New Castle,09,12,High,0,0,0,0,0,1,0,"5201 Washington Street Extension
Wilmington, DE 198092198
(39.771467, -75.505041)"
2012,16,752,Laurel School District,Regular,North Laurel Elementary School,PUBLIC,300 Wilson Street,--,Laurel,DE,199561626,Sussex,02,04,Elementary,0,0,0,1,0,0,0,"300 Wilson Street
Laurel, DE 199561626
(38.566427, -75.570313)"
2015,92,543,Gateway Lab School,Charter,Gateway Lab School,PUBLIC,2501 Centerville Road,--,Wilmington,DE,19808,New Castle,03,08,Middle,0,0,0,1,1,0,0,"2501 Centerville Road
Wilmington, DE 19808
(39.749494, -75.624241)"
2012,10,621,Caesar Rodney School District,Regular,Postlethwait (F. Niel) Middle School,PUBLIC,2841 South State Street,--,Camden,DE,199349627,Kent,06,08,Middle,0,0,0,0,1,0,0,"2841 South State Street
Camden, DE 199349627
(39.098859, -75.512414)"
2016,36,734,Indian River School District,Regular,Georgetown Elementary School,PUBLIC,301-A West Market Street,--,Georgetown,DE,199472398,Sussex,PK,05,Elementary,0,1,1,1,0,0,0,"301-A West Market Street
Georgetown, DE 199472398
(38.685699, -75.391282)"
2016,32,270,Red Clay Consolidated School District,Regular,North Star Elementary School,PUBLIC,1340 Little Baltimore Road,--,Hockessin,DE,19707,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"1340 Little Baltimore Road
Hockessin, DE 19707
(39.767361, -75.713318)"
2016,33,545,Christina School District,Regular,Christina Early Education Center,PUBLIC,620 East Chestnut Hill Rd,--,Newark,DE,197131814,New Castle,PK,PK,Pre-Kindergarten,0,1,0,0,0,0,0,"620 East Chestnut Hill Rd
Newark, DE 197131814
(39.671946, -75.708545)"
2014,24,682,Smyrna School District,Regular,Smyrna Elementary School,PUBLIC,121 South School Lane,--,Smyrna,DE,199771399,Kent,KG,04,Elementary,0,0,1,1,0,0,0,"121 South School Lane
Smyrna, DE 199771399
(39.296241, -75.607759)"
2013,18,668,Milford School District,Regular,Banneker (Benjamin) Elementary School,PUBLIC,449 North Street,--,Milford,DE,199631199,Kent,01,05,Elementary,0,0,0,1,0,0,0,"449 North Street
Milford, DE 199631199
(38.919454, -75.432178)"
2013,32,270,Red Clay Consolidated School District,Regular,North Star Elementary School,PUBLIC,1340 Little Baltimore Road,--,Hockessin,DE,19707,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"1340 Little Baltimore Road
Hockessin, DE 19707
(39.767361, -75.713318)"
2014,31,112,Brandywine School District,Regular,Carrcroft Elementary School,PUBLIC,503 Crest Road,--,Wilmington,DE,198034321,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"503 Crest Road
Wilmington, DE 198034321
(39.787385, -75.501684)"
2012,17,721,Cape Henlopen School District,Regular,Milton Elementary School,PUBLIC,512 Federal Street,--,Milton,DE,19968,Sussex,PK,05,Elementary,0,1,1,1,0,0,0,"512 Federal Street
Milton, DE 19968
(38.77293, -75.313232)"
2013,77,576,Sussex Academy of Arts & Sciences,Charter,Sussex Academy of Arts & Sciences,PUBLIC,21777 Sussex Pines Road,--,Georgetown,DE,19947,Sussex,06,08,Middle,0,0,0,0,1,0,0,"21777 Sussex Pines Road
Georgetown, DE 19947
(38.66944, -75.369494)"
2013,32,266,Red Clay Consolidated School District,Regular,Warner Elementary School,PUBLIC,801 West 18th Street,--,Wilmington,DE,198023890,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"801 West 18th Street
Wilmington, DE 198023890
(39.758287, -75.549017)"
2014,33,350,Christina School District,Regular,Bancroft Elementary School,PUBLIC,700 North Lombard Street,--,Wilmington,DE,198014299,New Castle,PK,05,Elementary,0,1,1,1,0,0,0,"700 North Lombard Street
Wilmington, DE 198014299
(39.740925, -75.544456)"
2014,34,456,Colonial School District,Regular,Eisenberg (Harry O.) Elementary School,PUBLIC,27 Landers Lane,--,New Castle,DE,197202093,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"27 Landers Lane
New Castle, DE 197202093
(39.688649, -75.558733)"
2016,77,576,Sussex Academy,Charter,Sussex Academy of Arts and Sciences,PUBLIC,21150 Airport Road,--,Georgetown,DE,19947,Sussex,06,09,High,0,0,0,0,1,1,0,"21150 Airport Road
Georgetown, DE 19947
(38.698105, -75.367262)"
